title,idS,idP
Using vegetation management and LiDAR-derived tree height data to improve outage predictions for electric utilities,s752,p752
Measurement-Directed Reduction of Dynamic Models in Power Systems,s753,p753
Behavior of Sheet Metal Under Multiaxial Deformation Paths,s754,p754
Pathology-targeted cell delivery via injectable micro-scaffold capsule mediated by endogenous TGase,s755,p755
Microstructure Correlation with Formability for Biaxial Stretching of Magnesium Alloy AZ31B at Mildly Elevated Temperatures,s756,p756
Tuning Ferritin's band gap through mixed metal oxide nanoparticle formation,s757,p757
Permanganate-based synthesis of manganese oxide nanoparticles in ferritin,s758,p758
"Pseudo-singleton pattern and agnostic business layer for multi-engineer, synchronous, heterogeneous CAD",s759,p759
Thermal characterization of natural and synthetic spider silks by both the 3ω and transient electrothermal methods,s760,p760
Fundamental Principles of Tremor Propagation in the Upper Limb,s761,p761
Thick rigidly foldable origami mechanisms based on synchronized offset rolling contact elements,s762,p762
Planning and Analyzing Experiments with Models that Distinguish Between Replicates and Repeats,s763,p763
"A Geometrically Exact Isogeometric Blended Shell: Formulation, Benchmarking, and Automotive Application",s764,p764
Design and Evaluation of Adverb Palette: A GUI for Selecting Tradeoffs in Multi-objective Optimization Problems,s765,p765
Haptic Shape-Based Management of Robot Teams in Cordon and Patrol,s766,p766
Ground-based 3D radar imaging of trees using a 2D synthetic aperture,s767,p767
Overview of estimation methods for industrial dynamic systems,s768,p768
Reservoir sustainability and sediment management,s769,p769
Infrastructure Project Scope Definition Using Project Definition Rating Index,s770,p770
Evaluation of stochastic particle dispersion modeling in turbulent round jets,s771,p771
Effect of tool geometry and process parameters on mechanical properties of friction stir spot welded dissimilar aluminum alloys,s772,p772
Nonparametric Tree-Based Predictive Modeling of Storm Outages on an Electric Distribution Network,s773,p773
Status of elementary teacher development: Preparing elementary teachers to deliver technology and engineering experiences,s774,p774
"Strength, behavior, and failure mode of hollow concrete masonry constructed with mortars of different strengths",s775,p775
Three-dimensional microscopic light field particle image velocimetry,s776,p776
"Theoretical estimates of maximum fields in superconducting resonant radio frequency cavities: Stability theory, disorder, and laminates",s777,p777
In-situ grain structure and texture evolution during friction stir welding of austenite stainless steel,s778,p778
"Poynting Streamlines, Effective Area Shape, and the Design of Superdirective Antennas",s779,p779
Structural analysis and optimization of tall buildings connected with skybridges and atria,s780,p780
Comparison and Analysis of Recursive-RANSAC for Multiple Target Tracking,s781,p781
Light splitting with imperfect wave plates,s782,p782
Comprehensive and quality-controlled bedload transport database,s783,p783
Active Integrated Antenna Supporting Linear and Circular Polarizations,s784,p784
Stability of Viscous St  Venant Roll Waves: From Onset to Infinite Froude Number Limit,s785,p785
MMI waveguide based multispectral detection of nucleic acids for analysis of drug-resistant bacteria,s786,p786
Design and characterization of integrated 2D ABEL trap,s787,p787
"A well clear recommendation for small UAS in high-density, ADS-B-enabled airspace",s788,p788
Formation of deposits from heavy fuel oil ash in an Accelerated Deposition Facility at temperatures up to 1206°C,s789,p789
Predicting efficiency of a turbine driven by pulsing flow,s790,p790
Mixed-integer multi-objective optimization applied to the PCS design of the I 2S-LWR,s791,p791
In situ bubble characterization during resin infusion for process simulation of voids,s792,p792
TrustBase: An architecture to repair and strengthen certificate-based authentication,s793,p793
Relative target estimation using a cascade of extended Kalman filters,s794,p794
Introducing second-Year students to concept-Based projects for increased success in third-Year sponsored projects,s795,p795
Sell it: Design project assessment by the public,s796,p796
Design education and the new culture of design centric intellectual property,s797,p797
Integrating a multidisciplinary design methods mindset into classroom practice,s798,p798
Using local invasive species and flora to manufacture collagen based biodegradable plastic tableware,s799,p799
Extension of the QuikSCAT Sea Ice Extent Data Set with OSCAT Data,s800,p800
Semi-empirical model for fire spread in chamise and big sagebrush shrubs with spatially-defined fuel elements and flames,s801,p801
Investigation of merging flames in horizontal and vertical geometries,s802,p802
A comprehensive model for predicting elemental composition of coal pyrolysis products,s803,p803
Modeling soot in coal systems,s804,p804
Re-epithelialization of whole porcine kidneys with renal epithelial cells,s805,p805
Pull-out strength of composite rebar made using a three-dimensional braiding machine,s806,p806
On if-to-baseband translation and resampling in sampled-data receivers,s807,p807
On the design of a square-root nyquist pulse shaping filter for aeronautical telemetry,s808,p808
Analysis of pyrolysis products from live shrub fuels,s809,p809
Pyrolysis of live vegetation at slow heating rates,s810,p810
Impact of particle properties on radiative heat flux in an oxy-coal reactor,s811,p811
Investigation of merging flames in Horizontal and vertical Geometries,s812,p812
Modeling a pressurized coal feed system,s813,p813
A fast-running simulation tool for axisymmetric oxy-coal combustors,s814,p814
Realizing origami mechanisms from metal sheets,s815,p815
Designing for power transfer across fold-lines in mechanisms with origami-like movement using surrogate folds,s816,p816
Optimization of origami-based tubes for lightweight deployable structures,s817,p817
"An assessment of village drill sustainability, with recommendations",s818,p818
A simple starting point for designing for and/or assessing the social impact of products,s819,p819
Impact of computational mesh on CFD combustion predictions,s820,p820
Thermal transport due to liquid jet impingement on superhydrophobic surfaces with isotropic slip,s821,p821
Two-phase flow pressure drop in superhydrophobic channels,s822,p822
A Hybrid Approach to FPGA Configuration Scrubbing,s823,p823
Benefits of Complementary SEU Mitigation for the LEON3 Soft Processor on SRAM-Based FPGAs,s824,p824
Hydrodynamics of droplet impingement on hot surfaces of varying wettability,s825,p825
Adding EUV reflectance to aluminum-coated mirrors for space-based observation,s826,p826
Foreword,s827,p827
Small aircraft flight encounters database for UAS sense and avoid,s828,p828
Implementing highway safety manual life-cycle benefit–cost analysis of safety improvements,s829,p829
Semantic style creation,s830,p830
Implementation of lean practices among finishing contractors in the US,s831,p831
Delivery methods and social network analysis of unethical behavior in the construction industry,s832,p832
Fourier descriptors for improved analysis of distortion transfer and generation,s833,p833
Improved bottomhole pressure control with wired drillpipe and physics-based models,s834,p834
Field testing of Cryogenic Carbon Capture,s835,p835
Gradient-based optimization of wind farms with different turbine heights,s836,p836
Minimum required detection range for detect and avoid of unmanned aircraft systems,s837,p837
"Probabilistic Lateral Spread Evaluation for Long, Linear Infrastructure Using Performance-Based Reference Parameter Maps",s838,p838
Preserving optical confinement in unannealed PECVD SiO2 waveguides,s839,p839
Multimodal multiplexing of single-virus detection using multi-mode interference waveguides,s840,p840
Single particle fluorescence analysis on demand on electro-optofluidic chip with gated particle delivery,s841,p841
Efficient feature descriptor for unmanned aerial vehicle ground moving object tracking,s842,p842
Passive force-deflection behavior of geosynthetic-reinforced soil backfill based on large-scale tests,s843,p843
Optimal combined long-term facility design and short-term operational strategy for CHP capacity investments,s844,p844
"Oat improvement and innovation using wild genetic resources (poaceae, Avena spp ): Elevating “oats” to a new level and stature",s845,p845
Ash deposition during advanced oxy-coal combustion using minimum recycled flue gas,s846,p846
Optimizing coded 16-APSK for aeronautical mobile telemetry,s847,p847
Sparse MMSE equalizer for GTR-STBC in aeronautical telemetry,s848,p848
Modeling soot formation from solid complex fuels,s849,p849
Modeling effects of annealing on coal char reactivity to O2 and CO2 based on preparation conditions,s850,p850
Modeling the coanda effect with FDS and STARCCM+ to predict the effect of fires on slopes for implications of wildland firefighter safety,s851,p851
Elastic energy absorption of origami-based corrugations,s852,p852
A framework for energy-based kinetostatic modeling of compliant mechanisms,s853,p853
Kinematics and discretization of curved-fold mechanisms,s854,p854
Split-vertex technique for thickness-accommodation in origami-based mechanisms,s855,p855
Rigidly foldable quadrilateral meshes from angle arrays,s856,p856
Engineering radical polymer electrodes for electrochemical energy storage,s857,p857
"Improving sensitivity of electrochemical sensors with convective transport in free-standing, carbon nanotube structures",s858,p858
Automatic model calibration for drilling automation,s859,p859
Optofluidic bioanalysis: Fundamentals and applications,s860,p860
Acoustic shock formation in noise propagation during ground run-up operations of military aircraft,s861,p861
Level-educed wavepacket representation of Mach 1 8 laboratory-scale jet noise,s862,p862
Beamforming-based wavepacket model for noise environment predictions of tactical aircraft,s863,p863
Characterization of supersonic laboratory-scale jet noise with vector acoustic intensity,s864,p864
Preliminary investigation of multilobe fighter jet noise sources using acoustical holography,s865,p865
Effect of the turbulence modeling in large-eddy simulations of nonpremixed flames undergoing extinction and reignition,s866,p866
Exploration of carbon-filled carbon nanotube vascular stents,s867,p867
Effect of leader placement on robotic swarm control,s868,p868
Geofoam inclusions for reducing passive force on bridge abutments based on large-scale tests,s869,p869
Isogeometric design and analysis,s870,p870
A comprehensive model of single particle pulverized coal combustion extended to oxy-coal conditions,s871,p871
Predicting Lap Shear Strength for Friction Stir Scribe Joining of Dissimilar Materials,s872,p872
High-Speed FSW Aluminum Alloy 7075 Microstructure and Corrosion Properties,s873,p873
Towards a universal social impact metric for engineered products that alleviate poverty,s874,p874
Waves of destruction in the East Indies: The Wichmann catalogue of earthquakes and tsunami in the Indonesian region from 1538 to 1877,s875,p875
Preface,s876,p876
The scaled SLW model of gas radiation in non-uniform media,s877,p877
Near-to-eye electroholography via guided-wave acousto-optics for augmented reality,s878,p878
The use of unmanned aerial vehicles and structures from motion to measure the volume change at a deep dynamic compaction site,s879,p879
Optimal Distributed Control for Platooning via Sparse Coprime Factorizations,s880,p880
Highly compressible origami bellows for microgravity drilling-debris containment,s881,p881
Interspecific hybridization for upland cotton improvement,s882,p882
Thermophysical properties of thin fibers via photothermal quantum dot fluorescence spectral shape-based thermometry,s883,p883
"Formability of magnesium alloy AZ31B from room temperature to 125, °C under biaxial tension",s884,p884
Preface,s885,p885
A summary of data-aided equalizer experiments at edwards AFB,s886,p886
Joining Dissimilar Material Using Friction Stir Scribe Technique,s887,p887
A minimal realization technique for the dynamical structure function of a class of LTI systems,s888,p888
Dryland agriculture in north america,s889,p889
